ime,zvrst in število epizod,čas nastajanja,število uporabnikov,ocena
Sousou no Frieren,TV (28 eps),Sep 2023 - Mar 2024,"832,004",9.34
Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,387,651",9.09
Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,594,870",9.07
Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"639,453",9.06
Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,"2,318,558",9.05
Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,"154,609",9.04
Gintama&#039;,TV (51 eps),Apr 2011 - Mar 2012,"563,970",9.03
Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"2,879,388",9.03
Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,"327,180",9.02
Gintama&#039;: Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"329,407",9.02
Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"561,233",9.01
Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,"953,734",9.00
Gintama.,TV (12 eps),Jan 2017 - Mar 2017,"318,947",8.98
Fruits Basket: The Final,TV (13 eps),Apr 2021 - Jun 2021,"490,012",8.97
Monogatari Series: Off &amp; Monster Season,ONA (? eps),Jul 2024 -,"55,259",8.96
Koe no Katachi,Movie (1 eps),Sep 2016 - Sep 2016,"2,367,468",8.93
Clannad: After Story,TV (24 eps),Oct 2008 - Mar 2009,"1,205,757",8.93
Gintama,TV (201 eps),Apr 2006 - Mar 2010,"1,076,336",8.93
3-gatsu no Lion 2nd Season,TV (22 eps),Oct 2017 - Mar 2018,"406,975",8.92
Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,"1,803,643",8.91
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),Jul 2013 - Jul 2013,"243,503",8.90
Kusuriya no Hitorigoto,TV (24 eps),Oct 2023 - Mar 2024,"445,609",8.90
Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special (2 eps),Mar 2023 - Nov 2023,"676,046",8.89
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,"202,191",8.88
Monster,TV (74 eps),Apr 2004 - Sep 2005,"1,147,555",8.88
Owarimonogatari 2nd Season,TV Special (7 eps),Aug 2017 - Aug 2017,"404,666",8.87
Violet Evergarden Movie,Movie (1 eps),Sep 2020 - Sep 2020,"626,510",8.86
Kimi no Na wa.,Movie (1 eps),Aug 2016 - Aug 2016,"2,780,702",8.83
Kingdom 3rd Season,TV (26 eps),Apr 2020 - Oct 2021,"106,784",8.82
Boku no Kokoro no Yabai Yatsu 2nd Season,TV (13 eps),Jan 2024 - Mar 2024,"197,735",8.82
Gintama.: Shirogane no Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,"216,016",8.81
Vinland Saga Season 2,TV (24 eps),Jan 2023 - Jun 2023,"641,867",8.81
Jujutsu Kaisen 2nd Season,TV (23 eps),Jul 2023 - Dec 2023,"1,001,808",8.81
Mob Psycho 100 II,TV (13 eps),Jan 2019 - Apr 2019,"1,558,230",8.79
Kizumonogatari III: Reiketsu-hen,Movie (1 eps),Jan 2017 - Jan 2017,"469,505",8.78
Bocchi the Rock!,TV (12 eps),Oct 2022 - Dec 2022,"600,552",8.78
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV (10 eps),Oct 2016 - Dec 2016,"1,222,862",8.78
Shingeki no Kyojin: The Final Season,TV (16 eps),Dec 2020 - Mar 2021,"2,036,496",8.78
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie (1 eps),Dec 2022 - Dec 2022,"280,232",8.77
Sen to Chihiro no Kamikakushi,Movie (1 eps),Jul 2001 - Jul 2001,"1,879,394",8.77
Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,"606,816",8.77
Shingeki no Kyojin: The Final Season Part 2,TV (12 eps),Jan 2022 - Apr 2022,"1,327,547",8.76
Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,"1,554,748",8.76
Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,"676,864",8.76
Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"1,891,441",8.75
Hibike! Euphonium 3,TV (13 eps),Apr 2024 - Jun 2024,"69,309",8.75
The First Slam Dunk,Movie (1 eps),Dec 2022 - Dec 2022,"48,475",8.75
Kimetsu no Yaiba: Yuukaku-hen,TV (11 eps),Dec 2021 - Feb 2022,"1,476,753",8.74
Kingdom 4th Season,TV (26 eps),Apr 2022 - Oct 2022,"67,367",8.74
Kingdom 5th Season,TV (13 eps),Jan 2024 - Mar 2024,"38,407",8.73
Shiguang Dailiren,ONA (11 eps),Apr 2021 - Jul 2021,"379,919",8.73
Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,"53,867",8.73
Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"270,440",8.72
One Piece,TV (? eps),Oct 1999 -,"2,399,543",8.72
Mob Psycho 100 III,TV (12 eps),Oct 2022 - Dec 2022,"702,774",8.71
86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,"517,430",8.71
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"189,504",8.71
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"278,969",8.70
Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"2,278,769",8.70
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV (13 eps),Jul 2023 - Sep 2023,"288,293",8.69
Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"840,885",8.69
Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"304,040",8.69
Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps),Aug 2021 - Oct 2021,"82,386",8.68
Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,"1,810,241",8.68
Tian Guan Cifu Er,ONA (12 eps),Oct 2023 - Jan 2024,"47,060",8.67
Haikyuu!! Movie: Gomisuteba no Kessen,Movie (1 eps),Feb 2024 - Feb 2024,"132,143",8.67
Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,"291,982",8.67
Fate/stay night Movie: Heaven&#039;s Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,"358,409",8.66
Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"1,361,009",8.66
Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,"1,274,095",8.66
Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"840,579",8.66
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,"952,713",8.66
Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,"443,030",8.66
Kimi ni Todoke 3rd Season,ONA (5 eps),Aug 2024 - Aug 2024,"54,259",8.65
Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"1,403,653",8.64
Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"248,125",8.64
Bungou Stray Dogs 5th Season,TV (11 eps),Jul 2023 - Sep 2023,"192,912",8.64
Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"2,240,316",8.64
Shiguang Dailiren II,ONA (12 eps),Jul 2023 - Sep 2023,"117,494",8.63
Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,"2,405,973",8.63
Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"1,630,176",8.63
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,"1,363,136",8.63
Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,"457,577",8.63
